,index,Filename,Date,JDate,Days,Julian,TTR,WordCount,UniqueWords,UniqueStems,MLU,Fillers,NSNouns,LIVerbs,$,'',",",.,:,CC,CD,DT,EX,FW,IN,JJ,JJR,JJS,MD,NN,NNP,NNPS,NNS,PDT,POS,PRP,PRP$,RB,RBR,RBS,RP,TO,UH,VB,VBD,VBG,VBN,VBP,VBZ,WDT,WP,WRB,``,WP$,SYM,Segment,WC,Analytic,Clout,Authentic,Tone,WPS,Sixltr,Dic,function,pronoun,ppron,i,we,you,shehe,they,ipron,article,prep,auxverb,adverb,conj,negate,verb,adj,compare,interrog,number,quant,affect,posemo,negemo,anx,anger,sad,social,family,friend,female,male,cogproc,insight,cause,discrep,tentat,certain,differ,percept,see,hear,feel,bio,body,health,sexual,ingest,drives,affiliation,achieve,power,reward,risk,focuspast,focuspresent,focusfuture,relativ,motion,space,time,work,leisure,home,money,relig,death,informal,swear,netspeak,assent,nonflu,filler,AllPunc,Period,Comma,Colon,SemiC,QMark,Exclam,Dash,Quote,Apostro,Parenth,OtherP,Nouns,Nouns/100,NounsNormalised,Adjectives,Adjectives/100,AdjectivesNormalised,Adverbs,Adverbs/100,AdverbsNormalised,Verbs,Verbs/100,VerbsNormalised,Pronouns,PronounsNormalised,UniqueWordsNormalised,UniqueStemsNormalised
0,0,Bush - Speech1 - Edited.txt,27/01/1989,1989-01-27,0,2447553.5,0.2277812961790162,4737.0,1079.0,879.0,18.33910034602076,19.0,16.0,191.0,2.0,3.0,263.0,289.0,79.0,212.0,37.0,486.0,30.0,2.0,551.0,243.0,13.0,4.0,89.0,517.0,193.0,3.0,180.0,5.0,9.0,496.0,47.0,307.0,5.0,1.0,20.0,151.0,16.0,270.0,60.0,104.0,80.0,289.0,163.0,24.0,23.0,31.0,3.0,0.0,0.0,1,4434,42.64,45.77,75.3,66.73,15.29,17.34,90.84,59.79,17.95,10.08,5.64,1.94,1.06,0.54,0.9,7.87,6.9,14.68,11.25,5.57,7.69,2.66,20.37,3.68,2.17,1.47,1.11,2.32,4.58,3.34,1.17,0.23,0.29,0.11,8.73,0.02,0.07,0.09,0.61,14.7,3.56,1.47,1.94,3.16,1.89,4.49,2.19,0.81,0.9,0.41,0.43,0.11,0.2,0.0,0.09,8.64,2.5,1.17,3.11,1.65,0.72,2.82,14.5,1.76,13.89,2.41,8.28,3.72,3.25,0.27,0.14,1.38,0.02,0.09,0.83,0.0,0.02,0.54,0.29,0.0,20.64,6.11,5.93,0.25,0.23,0.52,0.0,2.12,0.14,4.94,0.0,0.41,893.0,8.93,0.1885159383576103,260.0,2.6,0.05488705932024488,313.0,3.13,0.06607557525860248,966.0,9.66,0.2039265357821406,543.0,0.11462951234958835,0.28679381072328175,0.2428931270241094
1,1,Bush - Speech2 - Edited.txt,06/02/1989,1989-02-06,10,2447563.5,0.2798232695139911,2037.0,570.0,482.0,19.87719298245614,14.0,5.0,102.0,0.0,0.0,112.0,114.0,18.0,92.0,10.0,223.0,12.0,0.0,217.0,97.0,3.0,6.0,58.0,196.0,69.0,2.0,76.0,2.0,2.0,177.0,17.0,162.0,3.0,1.0,11.0,97.0,3.0,160.0,39.0,35.0,57.0,109.0,49.0,6.0,19.0,12.0,0.0,0.0,0.0,1,1938,33.31,45.08,57.18,56.98,17.0,16.77,90.76,61.82,17.44,8.98,4.95,1.81,0.98,0.41,0.83,8.46,6.04,14.71,12.75,6.09,8.41,3.04,22.19,3.82,2.22,1.75,0.67,2.63,3.66,2.58,0.93,0.05,0.15,0.1,8.26,0.1,0.0,0.0,0.52,16.87,4.02,1.55,2.79,3.97,2.43,4.23,2.94,1.19,0.93,0.36,0.41,0.21,0.15,0.05,0.05,7.95,2.32,1.5,2.22,1.6,0.72,4.02,15.48,2.37,12.07,2.37,6.3,3.66,2.53,0.1,0.15,0.41,0.21,0.05,0.31,0.05,0.0,0.15,0.1,0.0,17.03,5.47,5.78,0.21,0.0,0.41,0.05,0.83,0.0,4.28,0.0,0.0,343.0,3.43,0.16838487972508592,106.0,1.06,0.052037309769268535,166.0,1.66,0.08149239077074129,449.0,4.49,0.22042218949435444,194.0,0.09523809523809523,0.2571667130531589,0.21486223211800723
2,2,Bush - Speech3 - Edited.txt,21/02/1989,1989-02-21,25,2447578.5,0.2817204301075269,2325.0,655.0,544.0,17.841379310344827,14.0,13.0,112.0,0.0,0.0,114.0,145.0,34.0,116.0,9.0,241.0,12.0,0.0,242.0,110.0,7.0,2.0,50.0,227.0,123.0,6.0,75.0,1.0,6.0,230.0,18.0,152.0,1.0,1.0,17.0,91.0,3.0,150.0,48.0,44.0,54.0,144.0,66.0,17.0,21.0,10.0,0.0,0.0,0.0,1,2192,36.39,44.93,56.25,44.11,15.01,15.65,90.01,61.68,18.89,9.99,6.07,1.87,0.68,0.91,0.46,8.9,6.84,14.32,12.32,5.84,7.62,2.33,21.58,2.92,1.82,1.46,0.68,2.33,4.29,2.51,1.51,0.27,0.5,0.32,7.71,0.0,0.05,0.0,1.09,13.55,3.33,1.23,1.6,3.47,1.96,3.15,2.51,1.19,0.87,0.46,0.41,0.18,0.18,0.0,0.09,8.44,2.19,0.96,3.6,1.37,0.68,3.83,14.92,2.1,11.91,2.42,7.53,2.28,3.19,0.27,0.18,0.59,0.09,0.09,0.59,0.0,0.09,0.23,0.32,0.0,18.66,6.52,5.2,0.14,0.32,0.32,0.0,1.32,0.0,4.74,0.0,0.09,431.0,4.31,0.1853763440860215,119.0,1.19,0.051182795698924734,154.0,1.54,0.06623655913978495,506.0,5.06,0.21763440860215053,248.0,0.10666666666666667,0.27158071748878926,0.2312219730941704
3,3,Bush - Speech4 - Edited.txt,24/02/1989,1989-02-24,28,2447581.5,0.3101604278074866,1309.0,406.0,354.0,18.1875,5.0,2.0,68.0,0.0,2.0,66.0,80.0,17.0,66.0,6.0,119.0,4.0,0.0,115.0,58.0,5.0,1.0,34.0,120.0,55.0,7.0,25.0,0.0,6.0,153.0,16.0,92.0,0.0,0.0,7.0,51.0,2.0,87.0,19.0,33.0,28.0,93.0,45.0,11.0,17.0,11.0,2.0,2.0,0.0,1,1210,17.92,24.88,85.21,85.19,15.12,15.29,93.06,62.4,21.16,11.74,8.51,0.66,0.25,1.24,1.07,9.42,5.54,12.89,13.8,5.62,8.26,3.39,23.06,3.8,2.15,2.64,0.5,1.82,6.12,4.71,1.32,0.17,0.17,0.08,8.43,0.08,0.0,0.0,1.32,14.38,4.05,1.65,1.57,2.73,1.49,4.21,2.15,0.99,0.5,0.66,0.58,0.08,0.25,0.0,0.25,8.68,1.24,1.49,4.46,1.65,0.91,2.73,17.19,3.64,13.31,2.31,7.77,4.3,2.64,0.41,0.0,0.08,0.0,0.0,0.58,0.0,0.0,0.08,0.5,0.0,20.17,6.28,5.45,0.08,0.33,0.33,0.08,0.99,0.33,6.12,0.0,0.17,207.0,2.07,0.15813598166539344,64.0,0.64,0.04889228418640183,92.0,0.92,0.07028265851795264,305.0,3.05,0.23300229182582124,169.0,0.12910618792971734,0.2639040348964013,0.22055616139585604
4,4,Bush - Speech5 - Edited.txt,25/02/1989,1989-02-25,29,2447582.5,0.2388906397730854,3173.0,758.0,641.0,18.892473118279568,13.0,11.0,132.0,0.0,3.0,154.0,186.0,28.0,171.0,10.0,354.0,25.0,0.0,353.0,164.0,5.0,2.0,68.0,336.0,102.0,13.0,104.0,0.0,6.0,318.0,39.0,243.0,6.0,1.0,16.0,97.0,1.0,177.0,55.0,54.0,69.0,193.0,97.0,27.0,19.0,15.0,3.0,0.0,0.0,1,3013,30.87,50.0,73.64,69.56,16.2,15.93,90.28,61.96,19.08,10.49,5.61,2.46,0.9,0.6,0.93,8.6,6.67,13.38,11.92,6.17,8.0,2.82,20.94,3.78,1.86,1.46,0.43,2.39,5.14,3.58,1.26,0.23,0.43,0.07,9.59,0.0,0.2,0.03,0.56,15.3,3.75,1.59,2.06,2.75,2.19,4.51,2.12,0.8,0.46,0.53,0.33,0.03,0.13,0.0,0.13,8.46,3.62,0.86,2.52,1.36,0.56,4.08,14.14,1.69,13.57,2.46,8.3,3.39,1.59,0.2,0.13,0.46,0.03,0.17,0.5,0.0,0.0,0.1,0.4,0.0,17.26,6.21,5.11,0.07,0.27,0.17,0.03,0.86,0.2,4.35,0.0,0.0,555.0,5.55,0.1749133312322723,171.0,1.71,0.05389221556886228,250.0,2.5,0.0787897888433659,645.0,6.45,0.20327765521588403,357.0,0.1125118184683265,0.2509773260359656,0.21553296846494657
5,5,Bush - Speech6 - Edited.txt,07/03/1989,1989-03-07,39,2447592.5,0.2411402157164869,3894.0,939.0,773.0,18.50423728813559,11.0,15.0,146.0,0.0,8.0,235.0,236.0,78.0,168.0,30.0,391.0,22.0,0.0,403.0,191.0,12.0,6.0,84.0,382.0,145.0,8.0,141.0,3.0,11.0,416.0,52.0,291.0,3.0,1.0,37.0,112.0,3.0,199.0,76.0,88.0,92.0,218.0,132.0,31.0,27.0,26.0,8.0,1.0,0.0,1,3671,39.41,51.42,67.19,44.2,15.56,15.58,89.65,60.17,18.58,10.79,5.75,1.53,1.58,1.33,0.6,7.79,6.67,13.81,11.17,5.99,6.84,2.62,20.48,2.81,1.5,1.66,1.14,2.45,3.98,2.48,1.47,0.3,0.35,0.16,9.4,0.03,0.05,0.0,1.55,13.81,3.35,1.93,1.61,2.94,1.69,3.79,2.34,0.9,1.04,0.35,0.38,0.14,0.11,0.03,0.11,8.72,2.07,1.53,3.7,1.8,0.68,3.43,13.92,2.4,13.73,2.62,7.95,3.92,3.11,0.14,0.22,0.49,0.05,0.08,0.38,0.0,0.0,0.11,0.22,0.0,20.16,6.13,6.43,0.11,0.38,0.33,0.05,2.26,0.44,3.95,0.0,0.08,676.0,6.76,0.17360041088854647,209.0,2.09,0.05367231638418079,295.0,2.95,0.07575757575757576,805.0,8.05,0.20672829994863892,468.0,0.12018489984591679,0.24605433376455368,0.2056921086675291
6,6,Bush - Speech7 - Edited.txt,10/03/1989,1989-03-10,42,2447595.5,0.2845714285714286,1750.0,498.0,435.0,17.025862068965516,12.0,4.0,84.0,0.0,0.0,109.0,116.0,29.0,106.0,10.0,145.0,8.0,0.0,160.0,78.0,1.0,3.0,49.0,134.0,76.0,2.0,42.0,0.0,2.0,223.0,14.0,151.0,0.0,1.0,14.0,62.0,6.0,118.0,66.0,24.0,44.0,96.0,52.0,9.0,14.0,11.0,0.0,0.0,0.0,1,1637,17.51,44.18,79.58,60.51,14.11,13.13,92.18,62.68,21.32,12.58,6.84,2.63,0.86,1.65,0.61,8.74,5.31,12.46,12.58,5.99,9.41,2.5,23.7,2.99,1.28,1.77,0.67,1.59,3.97,2.87,1.04,0.12,0.31,0.06,9.65,0.0,0.0,0.12,1.53,14.84,4.15,1.59,1.28,2.69,1.41,4.83,2.5,0.55,1.1,0.79,0.55,0.49,0.06,0.43,0.0,9.04,2.87,1.1,3.48,1.59,0.37,6.41,15.64,2.87,13.07,3.12,5.86,5.25,1.71,0.06,0.24,0.37,0.06,0.0,1.22,0.43,0.0,0.43,0.37,0.0,20.89,6.9,6.66,0.0,0.12,0.37,0.0,1.71,0.0,5.13,0.0,0.0,254.0,2.54,0.14514285714285713,82.0,0.82,0.046857142857142854,152.0,1.52,0.08685714285714285,400.0,4.0,0.22857142857142856,237.0,0.13542857142857143,0.27155053704213716,0.2299641971908565
7,7,Bush - Speech9 - Edited.txt,07/04/1989,1989-04-07,70,2447623.5,0.3483309143686502,1378.0,480.0,416.0,20.13157894736842,9.0,1.0,60.0,0.0,0.0,73.0,76.0,19.0,71.0,3.0,128.0,4.0,0.0,168.0,77.0,2.0,1.0,32.0,138.0,57.0,9.0,54.0,0.0,2.0,125.0,11.0,80.0,1.0,1.0,11.0,63.0,4.0,101.0,23.0,26.0,28.0,73.0,39.0,10.0,10.0,10.0,0.0,0.0,0.0,1,1336,61.35,61.78,45.74,86.63,17.58,20.13,88.32,59.36,15.64,9.51,4.27,2.25,0.82,0.82,1.35,6.14,6.51,16.62,10.48,4.34,7.63,1.95,17.74,3.67,2.1,1.65,0.37,2.4,5.31,4.42,0.9,0.22,0.37,0.0,10.48,0.0,0.07,0.0,1.05,13.92,3.14,1.42,2.1,2.54,1.72,4.34,2.77,1.5,0.67,0.6,0.6,0.0,0.3,0.0,0.3,9.36,4.12,1.42,2.62,1.12,0.45,2.32,13.1,1.5,11.53,2.1,7.34,2.4,2.17,0.22,0.22,0.0,0.07,0.07,0.6,0.0,0.0,0.3,0.22,0.0,15.87,5.54,5.46,0.22,0.22,0.3,0.0,1.95,0.0,2.02,0.0,0.15,258.0,2.58,0.18722786647314948,80.0,0.8,0.05805515239477504,82.0,0.82,0.059506531204644414,290.0,2.9,0.2104499274310595,136.0,0.09869375907111756,0.2835348301669545,0.24467472654001152
8,8,Bush - Speech10 - Edited.txt,21/05/1989,1989-05-21,114,2447667.5,0.3506969919295671,1363.0,478.0,416.0,19.68831168831169,9.0,1.0,61.0,0.0,0.0,73.0,77.0,17.0,71.0,4.0,127.0,4.0,0.0,165.0,76.0,2.0,0.0,31.0,135.0,57.0,9.0,54.0,0.0,2.0,122.0,10.0,81.0,1.0,2.0,11.0,63.0,4.0,101.0,23.0,26.0,27.0,72.0,39.0,10.0,10.0,10.0,0.0,0.0,0.0,1,1326,61.83,60.71,47.25,87.69,17.22,20.06,88.24,59.43,15.46,9.28,4.22,2.26,0.75,0.75,1.28,6.18,6.49,16.67,10.41,4.37,7.62,2.04,17.8,3.62,2.11,1.66,0.38,2.26,5.28,4.45,0.83,0.23,0.38,0.0,10.26,0.0,0.08,0.0,0.98,13.8,3.09,1.43,2.11,2.49,1.66,4.3,2.79,1.51,0.68,0.6,0.53,0.0,0.23,0.0,0.3,9.35,4.15,1.51,2.56,1.06,0.45,2.26,13.27,1.51,11.84,2.26,7.47,2.41,2.11,0.23,0.23,0.0,0.08,0.08,0.6,0.0,0.0,0.3,0.23,0.0,15.38,5.58,5.51,0.23,0.23,0.38,0.0,1.43,0.0,1.89,0.0,0.15,255.0,2.55,0.18708730741012472,78.0,0.78,0.05722670579603815,84.0,0.84,0.061628760088041086,288.0,2.88,0.21129860601614087,132.0,0.09684519442406456,0.23955296404275997,0.20262390670553937
9,9,Bush - Speech11 - Edited.txt,30/05/1989,1989-05-30,123,2447676.5,0.2883959044368601,2344.0,676.0,579.0,19.66417910447761,13.0,5.0,104.0,0.0,2.0,154.0,134.0,36.0,119.0,17.0,212.0,13.0,2.0,239.0,144.0,5.0,1.0,67.0,219.0,76.0,9.0,79.0,0.0,1.0,249.0,28.0,184.0,4.0,0.0,9.0,87.0,6.0,159.0,64.0,33.0,62.0,115.0,59.0,15.0,17.0,12.0,2.0,1.0,0.0,1,2230,25.27,52.69,50.51,80.91,16.64,17.26,89.55,60.63,19.64,10.13,5.29,2.51,0.81,0.58,0.94,9.46,5.25,12.56,12.33,5.78,7.8,2.51,21.3,3.18,1.61,1.66,1.08,2.42,4.53,3.72,0.67,0.04,0.09,0.18,9.01,0.0,0.18,0.0,0.63,15.29,3.86,1.61,2.83,3.59,1.66,3.86,2.24,0.85,1.12,0.27,0.45,0.27,0.04,0.0,0.13,9.37,4.26,1.39,2.78,1.66,0.36,4.62,13.5,2.2,11.48,2.24,6.5,3.14,2.33,0.13,0.18,0.36,0.09,0.0,1.03,0.0,0.0,0.4,0.54,0.09,19.01,5.56,6.95,0.13,0.22,0.54,0.0,1.7,0.18,3.63,0.0,0.09,383.0,3.83,0.16339590443686006,150.0,1.5,0.06399317406143344,188.0,1.88,0.08020477815699659,492.0,4.92,0.2098976109215017,277.0,0.1181740614334471,0.2488062327217894,0.20985172153807488
10,10,Bush - Speech12 - Edited.txt,05/06/1989,1989-06-05,129,2447682.5,0.2858435097241067,2211.0,632.0,548.0,21.136752136752136,13.0,3.0,71.0,0.0,0.0,141.0,117.0,29.0,99.0,8.0,224.0,10.0,0.0,245.0,128.0,4.0,3.0,42.0,247.0,78.0,5.0,86.0,1.0,3.0,219.0,28.0,168.0,6.0,0.0,5.0,85.0,3.0,130.0,50.0,36.0,43.0,137.0,56.0,9.0,20.0,8.0,0.0,0.0,0.0,1,2119,50.8,58.04,73.28,66.84,17.96,18.17,88.34,59.6,17.79,9.63,5.14,1.6,0.99,0.42,1.46,8.16,7.55,14.35,9.82,5.52,7.46,1.98,18.59,3.54,1.84,1.46,0.42,1.75,4.48,3.26,1.09,0.28,0.24,0.14,9.39,0.09,0.19,0.0,0.52,11.85,3.35,1.98,1.56,1.56,1.04,2.83,2.55,1.56,0.38,0.47,0.52,0.09,0.24,0.0,0.09,7.93,2.78,0.99,3.4,0.85,0.52,3.73,13.45,1.51,15.38,2.74,8.16,5.05,1.46,0.24,0.05,0.14,0.0,0.05,0.52,0.0,0.0,0.28,0.24,0.0,17.23,5.47,6.65,0.19,0.38,0.14,0.0,1.09,0.0,3.3,0.0,0.0,416.0,4.16,0.18815015829941203,135.0,1.35,0.06105834464043419,174.0,1.74,0.07869742198100407,452.0,4.52,0.20443238353686116,247.0,0.1117141564902759,0.2575019235701462,0.21697871249038214
11,11,Bush - Speech13 - Edited.txt,08/06/1989,1989-06-08,132,2447685.5,0.2483204777307788,4019.0,998.0,832.0,18.14516129032258,19.0,7.0,140.0,0.0,6.0,228.0,248.0,64.0,212.0,22.0,352.0,28.0,1.0,419.0,215.0,11.0,2.0,96.0,395.0,153.0,19.0,157.0,2.0,6.0,418.0,50.0,270.0,2.0,3.0,24.0,120.0,12.0,255.0,105.0,70.0,99.0,222.0,131.0,21.0,36.0,17.0,6.0,3.0,0.0,1,3790,35.86,74.37,42.18,53.55,15.28,17.12,88.58,58.6,18.39,10.74,4.27,2.66,1.35,1.35,1.11,7.65,6.25,12.93,11.82,4.78,7.81,2.4,21.03,3.03,1.56,1.66,0.92,1.93,4.85,3.11,1.64,0.18,0.42,0.29,12.9,0.08,0.11,0.32,1.21,13.54,3.35,1.61,2.43,2.66,1.45,3.69,2.59,1.06,1.06,0.42,0.71,0.11,0.4,0.05,0.13,9.26,3.75,1.69,2.72,1.27,0.84,4.38,13.85,1.82,12.27,2.74,7.02,3.35,2.19,0.32,0.11,0.26,0.05,0.08,0.69,0.0,0.0,0.37,0.32,0.0,19.45,6.39,6.12,0.13,0.53,0.29,0.0,1.35,0.32,4.27,0.0,0.05,724.0,7.24,0.18014431450609605,228.0,2.28,0.05673052998258273,275.0,2.75,0.06842498133864146,882.0,8.82,0.21945757651157005,468.0,0.11644687733266981,0.2570056044835869,0.2201761409127302
12,12,Bush - Speech14 - Edited.txt,27/06/1989,1989-06-27,151,2447704.5,0.2259700176366843,4536.0,1025.0,840.0,19.10188679245283,14.0,13.0,192.0,1.0,5.0,252.0,265.0,76.0,222.0,19.0,411.0,15.0,1.0,492.0,233.0,6.0,8.0,95.0,435.0,227.0,20.0,162.0,4.0,7.0,454.0,60.0,301.0,5.0,1.0,20.0,174.0,17.0,291.0,76.0,97.0,92.0,291.0,135.0,19.0,53.0,15.0,5.0,0.0,0.0,1,4290,41.68,49.25,58.76,72.47,16.07,17.51,89.51,59.21,18.11,10.28,6.13,1.89,1.1,0.58,0.58,7.83,6.46,14.08,11.63,4.94,7.44,2.31,21.42,3.59,1.66,1.68,0.63,1.68,4.27,3.31,0.82,0.09,0.26,0.19,9.51,0.07,0.19,0.19,0.54,13.99,3.1,1.14,2.31,3.03,1.68,4.24,2.8,1.45,0.77,0.51,0.28,0.12,0.09,0.02,0.09,8.3,2.98,1.61,2.77,1.68,0.33,3.17,15.34,2.54,11.75,2.54,6.6,3.15,2.56,0.47,0.05,0.75,0.07,0.0,0.79,0.0,0.0,0.49,0.26,0.0,18.74,5.94,5.9,0.21,0.42,0.42,0.0,1.63,0.23,3.82,0.0,0.16,844.0,8.44,0.18606701940035272,247.0,2.47,0.05445326278659612,307.0,3.07,0.06768077601410935,982.0,9.82,0.21649029982363316,514.0,0.11331569664902998,0.2505347593582888,0.20935828877005347
13,13,Bush - Speech15 - Edited.txt,06/07/1989,1989-07-06,160,2447713.5,0.228515625,3584.0,819.0,684.0,21.73224043715847,6.0,8.0,150.0,2.0,3.0,204.0,183.0,64.0,167.0,20.0,334.0,8.0,2.0,400.0,208.0,13.0,5.0,96.0,341.0,136.0,19.0,142.0,3.0,10.0,349.0,40.0,237.0,6.0,1.0,21.0,143.0,6.0,258.0,42.0,87.0,48.0,190.0,116.0,18.0,29.0,22.0,3.0,1.0,0.0,1,3370,40.96,71.56,52.04,81.01,18.42,17.15,88.64,59.73,18.61,10.39,3.89,4.09,1.34,0.59,0.47,8.22,5.82,14.96,11.16,4.75,7.8,2.61,20.18,3.95,1.9,1.66,0.71,2.08,5.04,4.01,0.95,0.27,0.03,0.12,11.34,0.03,0.15,0.0,0.65,13.26,2.61,1.19,2.34,3.77,1.22,4.54,2.4,0.86,1.04,0.5,0.27,0.24,0.0,0.0,0.03,11.48,5.31,2.05,2.67,2.05,0.71,2.31,14.84,2.28,13.2,3.18,8.46,2.05,2.7,0.15,0.21,0.68,0.06,0.0,0.5,0.03,0.0,0.24,0.24,0.0,19.23,5.52,6.05,0.18,0.47,0.24,0.0,1.81,0.18,4.72,0.0,0.06,638.0,6.38,0.17801339285714285,226.0,2.26,0.06305803571428571,244.0,2.44,0.06808035714285714,741.0,7.41,0.20675223214285715,389.0,0.10853794642857142,0.2594534915815622,0.21887938172784985
