,index,Filename,Date,JDate,Days,Julian,TTR,WordCount,UniqueWords,UniqueStems,MLU,Fillers,NSNouns,LIVerbs,'',",",.,:,CC,CD,DT,EX,IN,JJ,JJR,JJS,MD,NN,NNP,NNPS,NNS,PDT,POS,PRP,PRP$,RB,RBR,RBS,RP,TO,UH,VB,VBD,VBG,VBN,VBP,VBZ,WDT,WP,WP$,WRB,``,$,FW,Segment,WC,Analytic,Clout,Authentic,Tone,WPS,Sixltr,Dic,function,pronoun,ppron,i,we,you,shehe,they,ipron,article,prep,auxverb,adverb,conj,negate,verb,adj,compare,interrog,number,quant,affect,posemo,negemo,anx,anger,sad,social,family,friend,female,male,cogproc,insight,cause,discrep,tentat,certain,differ,percept,see,hear,feel,bio,body,health,sexual,ingest,drives,affiliation,achieve,power,reward,risk,focuspast,focuspresent,focusfuture,relativ,motion,space,time,work,leisure,home,money,relig,death,informal,swear,netspeak,assent,nonflu,filler,AllPunc,Period,Comma,Colon,SemiC,QMark,Exclam,Dash,Quote,Apostro,Parenth,OtherP,Nouns,Nouns/100,NounsNormalised,Adjectives,Adjectives/100,AdjectivesNormalised,Adverbs,Adverbs/100,AdverbsNormalised,Verbs,Verbs/100,VerbsNormalised,Pronouns,PronounsNormalised,UniqueWordsNormalised,UniqueStemsNormalised
0,0,Reagan - Speech1 - Edited.txt,29/01/1981,1981-01-29,0,2444633.5,0.2867938107232817,2779.0,797.0,675.0,24.03875968992248,10.0,9.0,131.0,2.0,192.0,129.0,5.0,109.0,24.0,295.0,14.0,348.0,138.0,4.0,2.0,66.0,305.0,112.0,6.0,100.0,4.0,2.0,248.0,28.0,186.0,3.0,3.0,15.0,110.0,7.0,185.0,58.0,54.0,71.0,156.0,62.0,25.0,21.0,1.0,9.0,2.0,0.0,0.0,1,2685,48.88,69.91,50.78,51.56,20.65,17.17,90.32,61.04,17.39,8.86,3.24,2.91,1.04,0.07,1.6,8.53,6.74,15.49,11.62,5.4,7.19,1.97,19.22,3.58,2.09,1.45,1.42,2.53,3.58,2.42,1.04,0.04,0.45,0.07,9.61,0.0,0.11,0.07,0.15,13.22,3.5,1.6,2.16,2.64,1.71,3.13,1.56,0.56,0.52,0.34,0.48,0.3,0.04,0.0,0.15,9.35,3.84,1.71,3.09,1.01,0.45,4.39,12.7,1.53,13.48,2.09,7.52,4.32,3.65,0.07,0.19,0.56,0.19,0.04,0.74,0.0,0.04,0.22,0.48,0.0,15.83,4.8,7.19,0.04,0.15,0.11,0.0,0.34,0.15,2.83,0.0,0.22,523.0,5.23,0.1881971932349766,144.0,1.44,0.051817200431810005,192.0,1.92,0.06908960057574667,586.0,5.86,0.2108672184238935,276.0,0.09931630082763584,0.28679381072328175,0.2428931270241094
1,1,Reagan - Speech2 - Edited.txt,06/03/1981,1981-03-06,36,2444669.5,0.2571667130531589,3593.0,924.0,772.0,24.70625,11.0,9.0,121.0,5.0,197.0,160.0,4.0,141.0,34.0,387.0,22.0,465.0,177.0,6.0,7.0,81.0,442.0,93.0,5.0,139.0,5.0,3.0,331.0,38.0,224.0,5.0,1.0,11.0,114.0,6.0,188.0,87.0,102.0,88.0,192.0,98.0,37.0,31.0,0.0,20.0,5.0,2.0,0.0,1,3463,49.46,76.39,45.55,52.3,21.64,16.23,90.53,61.91,18.08,9.44,2.92,4.53,0.72,0.09,1.18,8.61,7.62,14.84,11.29,5.23,6.81,2.19,19.52,3.23,2.14,1.93,1.79,2.45,4.01,2.69,1.27,0.29,0.2,0.26,10.42,0.03,0.26,0.09,0.06,13.66,3.61,1.93,2.17,2.97,1.33,3.38,1.39,0.55,0.52,0.17,0.81,0.12,0.64,0.09,0.09,11.03,5.08,1.76,2.45,1.53,0.72,4.27,12.71,1.91,12.68,2.14,6.5,4.22,3.12,0.06,0.17,1.3,0.12,0.35,0.61,0.0,0.0,0.14,0.4,0.06,13.8,4.56,5.8,0.06,0.06,0.12,0.0,0.17,0.29,2.69,0.0,0.06,679.0,6.79,0.1889785694405789,190.0,1.9,0.052880601168939605,230.0,2.3,0.064013359309769,755.0,7.55,0.21013080990815475,369.0,0.10269969384915113,0.2571667130531589,0.21486223211800723
2,2,Reagan - Speech3 - Edited.txt,16/06/1981,1981-06-16,138,2444771.5,0.2715807174887892,3568.0,969.0,825.0,24.06134969325153,17.0,8.0,117.0,2.0,189.0,164.0,0.0,140.0,48.0,386.0,12.0,448.0,203.0,7.0,9.0,67.0,418.0,132.0,4.0,147.0,3.0,2.0,311.0,40.0,222.0,3.0,1.0,14.0,123.0,1.0,175.0,88.0,81.0,94.0,184.0,113.0,41.0,27.0,0.0,20.0,2.0,1.0,0.0,1,3447,52.25,58.6,57.88,34.32,21.02,17.09,90.28,60.57,17.46,8.73,3.92,2.12,1.07,0.26,1.36,8.73,7.95,14.51,10.79,5.31,6.73,2.32,19.0,3.54,2.0,1.86,1.89,1.94,4.29,2.38,1.89,0.29,0.93,0.2,8.65,0.03,0.15,0.09,0.41,13.05,3.51,2.41,1.57,2.44,1.31,3.42,1.91,0.81,0.81,0.23,0.55,0.23,0.32,0.0,0.0,8.88,3.22,1.62,3.45,0.73,0.55,4.03,12.59,1.45,13.17,2.26,7.02,4.0,3.05,0.09,0.38,1.25,0.0,0.09,0.58,0.0,0.03,0.06,0.49,0.0,13.87,4.67,5.51,0.0,0.0,0.2,0.0,0.52,0.12,2.7,0.0,0.15,701.0,7.01,0.19646860986547085,219.0,2.19,0.06137892376681614,226.0,2.26,0.0633408071748879,735.0,7.35,0.20599775784753363,351.0,0.09837443946188341,0.27158071748878926,0.2312219730941704
3,3,Reagan - Speech5 - Edited.txt,10/11/1981,1981-11-10,285,2444918.5,0.2639040348964013,3668.0,968.0,809.0,24.85276073619632,14.0,10.0,140.0,4.0,218.0,163.0,6.0,150.0,32.0,399.0,20.0,502.0,200.0,16.0,6.0,75.0,462.0,91.0,6.0,133.0,5.0,2.0,311.0,59.0,205.0,2.0,1.0,14.0,118.0,4.0,197.0,59.0,78.0,107.0,190.0,125.0,42.0,19.0,0.0,23.0,4.0,3.0,0.0,1,3553,51.56,73.39,47.54,45.96,21.8,16.97,90.49,61.05,17.39,8.75,2.79,3.72,0.79,0.48,0.99,8.64,7.49,15.14,11.54,5.32,7.01,1.77,18.91,4.02,2.56,1.8,1.75,2.36,3.91,2.48,1.38,0.2,0.42,0.2,9.68,0.11,0.14,0.42,0.11,13.43,3.66,1.55,1.69,3.18,1.66,3.35,1.41,0.42,0.7,0.23,0.65,0.14,0.48,0.0,0.03,9.37,4.5,1.66,2.25,1.27,0.62,3.29,13.26,2.03,13.0,2.31,6.36,4.64,3.18,0.2,0.45,1.63,0.03,0.06,0.76,0.03,0.17,0.14,0.39,0.03,14.55,4.45,6.22,0.06,0.11,0.14,0.0,0.53,0.23,2.65,0.0,0.17,692.0,6.92,0.18865866957470012,222.0,2.22,0.06052344601962922,208.0,2.08,0.05670665212649945,756.0,7.56,0.20610687022900764,370.0,0.10087241003271538,0.2639040348964013,0.22055616139585604
4,4,Reagan - Speech6 - Edited.txt,17/12/1981,1981-12-17,322,2444955.5,0.2509773260359656,3837.0,963.0,827.0,25.32934131736527,9.0,13.0,134.0,3.0,221.0,168.0,9.0,179.0,41.0,441.0,16.0,500.0,189.0,7.0,2.0,94.0,482.0,98.0,3.0,144.0,3.0,4.0,337.0,54.0,241.0,1.0,1.0,21.0,103.0,7.0,195.0,122.0,86.0,100.0,176.0,90.0,35.0,34.0,1.0,17.0,3.0,2.0,0.0,1,3710,41.42,67.07,56.77,38.73,22.22,16.93,90.16,62.26,18.84,9.49,3.56,3.02,1.56,0.22,1.13,9.35,7.6,13.42,11.54,5.12,7.2,2.32,17.79,2.75,1.43,1.86,1.73,2.51,3.34,2.02,1.29,0.22,0.16,0.11,9.38,0.03,0.11,0.11,0.22,14.37,3.56,2.29,1.4,3.56,1.59,3.67,1.24,0.19,0.65,0.24,0.13,0.08,0.05,0.0,0.0,8.95,3.5,1.83,2.8,1.24,0.59,4.56,11.21,1.67,12.86,2.37,6.74,4.31,3.67,0.03,0.08,1.62,0.08,0.11,0.59,0.0,0.03,0.13,0.43,0.0,13.72,4.45,5.98,0.08,0.16,0.13,0.0,0.24,0.16,2.43,0.0,0.08,727.0,7.27,0.1894709408391973,198.0,1.98,0.05160281469898358,243.0,2.43,0.06333072713057075,769.0,7.69,0.200416992442012,391.0,0.10190252801667969,0.2509773260359656,0.21553296846494657
5,5,Reagan - Speech7 - Edited.txt,19/01/1982,1982-01-19,355,2444988.5,0.2460543337645536,3865.0,951.0,795.0,23.31868131868132,25.0,14.0,147.0,3.0,196.0,182.0,7.0,147.0,30.0,402.0,22.0,505.0,209.0,14.0,5.0,82.0,449.0,90.0,0.0,139.0,2.0,3.0,375.0,35.0,243.0,5.0,1.0,13.0,116.0,5.0,192.0,123.0,106.0,121.0,209.0,118.0,40.0,32.0,0.0,17.0,2.0,4.0,0.0,1,3704,37.51,67.48,43.05,44.56,20.35,16.66,90.96,63.26,18.95,9.34,3.56,3.16,0.78,0.81,1.03,9.61,7.24,13.93,13.5,4.78,7.24,2.11,20.95,3.86,2.24,1.59,1.3,2.29,3.81,2.38,1.35,0.13,0.32,0.19,9.67,0.05,0.05,0.11,0.76,12.96,3.35,1.89,2.0,2.75,1.43,3.4,1.08,0.43,0.54,0.08,0.7,0.11,0.46,0.13,0.11,9.69,3.81,1.32,3.27,0.84,0.94,5.51,13.04,2.24,12.45,1.89,6.34,4.45,3.86,0.03,0.03,1.08,0.08,0.13,0.57,0.0,0.0,0.08,0.49,0.0,14.23,4.75,5.4,0.03,0.16,0.16,0.0,0.3,0.11,3.21,0.0,0.11,678.0,6.78,0.17542043984476066,228.0,2.28,0.058990944372574385,249.0,2.49,0.06442432082794308,869.0,8.69,0.22483829236739974,410.0,0.10608020698576973,0.24605433376455368,0.2056921086675291
6,6,Reagan - Speech8 - Edited.txt,18/02/1982,1982-02-18,385,2445018.5,0.2715505370421371,3631.0,986.0,835.0,24.206060606060607,14.0,15.0,119.0,4.0,197.0,165.0,4.0,145.0,32.0,378.0,28.0,486.0,182.0,11.0,4.0,77.0,449.0,158.0,4.0,151.0,4.0,8.0,283.0,49.0,229.0,4.0,0.0,19.0,115.0,14.0,199.0,121.0,93.0,63.0,154.0,77.0,33.0,29.0,0.0,18.0,4.0,2.0,1.0,1,3486,50.93,69.21,53.62,59.45,20.75,18.3,90.1,59.98,17.47,8.92,3.16,2.67,0.89,0.63,1.58,8.55,6.77,14.95,10.36,5.77,6.66,2.09,18.36,3.33,1.95,1.66,1.26,2.52,3.67,2.73,0.95,0.03,0.2,0.09,10.33,0.23,0.11,0.09,0.72,13.17,2.98,1.66,1.75,3.47,1.41,3.61,1.52,0.23,1.06,0.17,0.52,0.2,0.17,0.0,0.14,8.78,3.56,1.12,2.81,1.03,0.72,4.22,11.19,1.75,14.17,2.21,7.83,4.42,3.67,0.14,0.23,1.95,0.11,0.0,0.86,0.0,0.0,0.34,0.52,0.0,14.4,4.65,5.65,0.03,0.09,0.2,0.0,0.4,0.23,2.87,0.0,0.29,762.0,7.62,0.20985954282566785,197.0,1.97,0.0542550261635913,233.0,2.33,0.0641696502340953,707.0,7.07,0.1947122004957312,332.0,0.09143486642798128,0.27155053704213716,0.2299641971908565
7,7,Reagan - Speech9 - Edited.txt,31/03/1982,1982-03-31,426,2445059.5,0.2835348301669545,3474.0,985.0,850.0,24.70779220779221,8.0,13.0,113.0,2.0,177.0,154.0,4.0,132.0,83.0,354.0,31.0,456.0,192.0,14.0,6.0,73.0,430.0,99.0,2.0,148.0,6.0,7.0,288.0,37.0,195.0,5.0,1.0,29.0,92.0,11.0,160.0,80.0,105.0,80.0,182.0,79.0,40.0,24.0,1.0,14.0,2.0,9.0,1.0,1,3326,54.68,79.58,35.25,38.03,21.46,17.71,89.63,60.07,17.47,8.84,2.71,3.55,0.66,0.33,1.59,8.63,7.46,14.79,11.24,5.26,6.37,1.2,19.27,3.97,2.47,1.53,3.19,2.74,4.54,2.56,1.86,0.21,0.51,0.33,10.49,0.12,0.12,0.36,0.09,10.64,2.19,1.11,1.77,2.8,1.56,2.53,1.83,0.72,0.72,0.27,0.63,0.18,0.21,0.0,0.24,10.46,4.48,1.26,3.07,1.08,1.02,4.12,12.06,1.62,13.41,1.86,7.82,4.03,3.55,0.3,0.27,2.83,0.09,0.24,0.63,0.0,0.0,0.27,0.36,0.0,14.73,4.42,5.47,0.0,0.12,0.27,0.0,0.51,0.12,3.43,0.0,0.39,679.0,6.79,0.19545192861255037,212.0,2.12,0.06102475532527346,201.0,2.01,0.05785837651122625,686.0,6.86,0.19746689694876224,325.0,0.09355210132412205,0.2835348301669545,0.24467472654001152
8,8,Reagan - Speech10 - Edited.txt,13/05/1982,1982-05-13,469,2445102.5,0.2395529640427599,4116.0,986.0,834.0,24.20855614973262,19.0,18.0,150.0,3.0,223.0,187.0,5.0,156.0,47.0,477.0,42.0,517.0,230.0,7.0,3.0,80.0,526.0,112.0,2.0,153.0,6.0,4.0,332.0,49.0,255.0,5.0,4.0,26.0,132.0,10.0,206.0,118.0,82.0,110.0,193.0,133.0,50.0,24.0,0.0,12.0,3.0,2.0,1.0,1,3958,49.65,62.49,58.14,48.76,21.17,15.84,91.71,61.57,17.99,8.14,3.54,1.54,1.11,0.23,1.72,9.85,8.11,14.1,11.5,5.94,6.11,1.74,19.28,2.65,1.54,1.26,1.77,2.35,3.61,2.4,1.16,0.08,0.4,0.18,8.44,0.1,0.1,0.0,0.23,11.7,3.21,1.77,1.67,2.83,1.34,2.63,1.59,0.58,0.61,0.23,0.66,0.25,0.33,0.0,0.08,7.83,2.48,1.52,2.43,1.01,0.86,4.72,12.81,1.59,14.75,2.43,6.85,5.94,4.04,0.2,0.28,2.27,0.18,0.08,0.66,0.0,0.0,0.15,0.51,0.0,14.15,4.52,5.71,0.03,0.1,0.23,0.0,0.38,0.15,2.88,0.0,0.15,793.0,7.93,0.19266277939747328,240.0,2.4,0.05830903790087463,264.0,2.64,0.0641399416909621,842.0,8.42,0.20456754130223517,381.0,0.09256559766763849,0.23955296404275997,0.20262390670553937
9,9,Reagan - Speech11 - Edited.txt,30/06/1982,1982-06-30,517,2445150.5,0.2488062327217894,3979.0,990.0,835.0,23.9010989010989,11.0,14.0,115.0,4.0,187.0,182.0,7.0,186.0,37.0,454.0,42.0,521.0,214.0,8.0,2.0,71.0,476.0,127.0,6.0,171.0,6.0,3.0,317.0,64.0,238.0,5.0,2.0,4.0,125.0,7.0,194.0,139.0,56.0,131.0,173.0,99.0,40.0,24.0,0.0,23.0,3.0,2.0,0.0,1,3847,49.25,65.95,39.75,43.8,21.14,17.49,89.24,61.4,17.36,8.97,3.69,2.7,0.39,0.6,1.59,8.4,7.36,14.69,11.15,5.33,7.38,2.03,17.83,3.25,1.92,1.74,1.64,2.57,3.64,2.26,1.27,0.1,0.36,0.42,9.85,0.1,0.03,0.08,0.68,13.05,3.02,1.66,2.13,3.98,1.33,3.12,1.66,0.47,0.78,0.36,0.21,0.05,0.05,0.03,0.08,8.97,3.72,1.51,2.76,1.25,0.49,5.54,10.42,1.25,12.35,1.56,6.81,4.21,3.48,0.18,0.1,0.65,0.08,0.05,0.47,0.0,0.05,0.18,0.29,0.0,12.69,4.68,4.89,0.05,0.13,0.08,0.0,0.39,0.18,2.24,0.0,0.05,780.0,7.8,0.19602915305353102,224.0,2.24,0.05629555164614225,245.0,2.45,0.061573259612968084,792.0,7.92,0.19904498617743152,381.0,0.09575270168384016,0.2488062327217894,0.20985172153807488
