Filename,Date
Reagan - Speech1 - Edited.txt,29/01/1981
Reagan - Speech10 - Edited.txt,13/05/1982
Reagan - Speech11 - Edited.txt,30/06/1982
Reagan - Speech12 - Edited.txt,28/07/1982
Reagan - Speech13 - Edited.txt,28/09/1982
Reagan - Speech14 - Edited.txt,11/11/1982
Reagan - Speech15 - Edited.txt,05/01/1983
Reagan - Speech16 - Edited.txt,16/02/1983
Reagan - Speech17 - Edited.txt,17/05/1983
Reagan - Speech18 - Edited.txt,28/06/1983
Reagan - Speech19 - Edited.txt,26/07/1983
Reagan - Speech2 - Edited.txt,06/03/1981
Reagan - Speech20 - Edited.txt,19/10/1983
Reagan - Speech21 - Edited.txt,20/12/1983
Reagan - Speech22 - Edited.txt,22/02/1984
Reagan - Speech23 - Edited.txt,04/04/1984
Reagan - Speech24 - Edited.txt,22/05/1984
Reagan - Speech25 - Edited.txt,14/06/1984
Reagan - Speech26 - Edited.txt,24/07/1984
Reagan - Speech27 - Edited.txt,09/01/1985
Reagan - Speech28 - Edited.txt,21/02/1985
Reagan - Speech29 - Edited.txt,21/03/1985
Reagan - Speech3 - Edited.txt,16/06/1981
Reagan - Speech30 - Edited.txt,10/05/1985
Reagan - Speech31 - Edited.txt,18/06/1985
Reagan - Speech32 - Edited.txt,17/09/1985
Reagan - Speech33 - Edited.txt,07/01/1986
Reagan - Speech34 - Edited.txt,11/02/1986
Reagan - Speech35 - Edited.txt,09/04/1986
Reagan - Speech36 - Edited.txt,07/05/1986
Reagan - Speech37 - Edited.txt,11/06/1986
Reagan - Speech38 - Edited.txt,12/08/1986
Reagan - Speech39 - Edited.txt,19/11/1986
Reagan - Speech4 - Edited.txt,01/10/1981
Reagan - Speech40 - Edited.txt,19/03/1987
Reagan - Speech41 - Edited.txt,11/06/1987
Reagan - Speech42 - Edited.txt,22/10/1987
Reagan - Speech43 - Edited.txt,24/02/1988
Reagan - Speech44 - Edited.txt,01/06/1988
Reagan - Speech45 - Edited.txt,21/06/1988
Reagan - Speech46 - Edited.txt,08/12/1988
Reagan - Speech5 - Edited.txt,10/11/1981
Reagan - Speech6 - Edited.txt,17/12/1981
Reagan - Speech7 - Edited.txt,19/01/1982
Reagan - Speech8 - Edited.txt,18/02/1982
Reagan - Speech9 - Edited.txt,31/03/1982
