Filename,Date
Trump - Speech1 - Edited.txt,27/01/2017
Trump - Speech2 - Edited.txt,10/02/2017
Trump - Speech3 - Edited.txt,13/02/2017
Trump - Speech4 - Edited.txt,15/02/2017
Trump - Speech5 - Edited.txt,16/02/2017
Trump - Speech6 - Edited.txt,17/03/2017
Trump - Speech7 - Edited.txt,05/04/2017
Trump - Speech8 - Edited.txt,12/04/2017
Trump - Speech9 - Edited.txt,20/04/2017
Trump - Speech10 - Edited.txt,18/05/2017
Trump - Speech11 - Edited.txt,09/06/2017
Trump - Speech12 - Edited.txt,13/07/2017
Trump - Speech13 - Edited.txt,25/07/2017
Trump - Speech14 - Edited.txt,28/08/2017
Trump - Speech15 - Edited.txt,07/09/2017
Trump - Speech16 - Edited.txt,26/09/2017
Trump - Speech17 - Edited.txt,16/10/2017
Trump - Speech18 - Edited.txt,17/10/2017
Trump - Speech19 - Edited.txt,06/11/2017
Trump - Speech20 - Edited.txt,07/11/2017
Trump - Speech21 - Edited.txt,12/11/2017
Trump - Speech22 - Edited.txt,10/01/2018
Trump - Speech23 - Edited.txt,23/02/2018
Trump - Speech24 - Edited.txt,06/03/2018
Trump - Speech25 - Edited.txt,24/04/2018
Trump - Speech26 - Edited.txt,27/04/2018
Trump - Speech27 - Edited.txt,30/04/2018
Trump - Speech28 - Edited.txt,01/06/2018
Trump - Speech29 - Edited.txt,16/07/2018
